11,10	1	5
11,1	1	7
12,1	1	18
12,11	1	13
13,10	1	10
13,11	1	7
13,12	1	18
14,10	1	8
14,1	1	10
14,11	1	5
14,12	1	16
14,13	1	10
15,10	1	8
15,1	1	10
15,11	1	5
15,12	1	16
15,13	1	10
15,14	1	8
16,1	1	15
16,11	1	10
16,13	1	15
16,14	1	13
16,15	1	13
17,10	1	13
17,1	1	15
17,11	1	10
17,12	1	21
17,13	1	15
17,14	1	13
17,15	1	13
17,16	1	18
18,10	1	9
18,1	1	11
18,11	1	6
18,12	1	17
18,13	1	11
18,14	1	9
18,15	1	9
18,17	1	14
19,10	1	12
19,1	1	14
19,11	1	9
19,12	1	20
19,13	1	14
19,15	1	12
19,16	1	17
19,18	1	13
20,10	1	7
20,11	1	4
20,12	1	15
20,13	1	9
20,14	1	7
20,15	1	7
20,16	1	12
20,17	1	12
20,18	1	8
20,19	1	11
2,11	1	4
2,14	1	7
2,18	1	8
2,20	1	6
21,10	1	9
21,1	1	11
21,11	1	6
21,12	1	17
21,13	1	11
21,14	1	9
21,15	1	9
21,16	1	14
21,17	1	14
21,18	1	10
21,19	1	13
21,20	1	8
21,2	1	8
22,10	1	6
22,1	1	8
22,11	1	3
22,12	1	14
22,13	1	8
22,14	1	6
22,15	1	6
22,16	1	11
22,17	1	11
22,18	1	7
22,19	1	10
22,20	1	5
22,2	1	5
22,21	1	7
23,10	1	5
23,11	1	2
23,12	1	13
23,13	1	7
23,14	1	5
23,15	1	5
23,16	1	10
23,17	1	10
23,18	1	6
23,20	1	4
23,2	1	4
23,21	1	6
23,22	1	3
24,10	1	10
24,1	1	12
24,11	1	7
24,12	1	18
24,13	1	12
24,14	1	10
24,15	1	10
24,16	1	15
24,17	1	15
24,18	1	11
24,19	1	14
24,20	1	9
24,2	1	9
24,21	1	11
24,22	1	8
24,23	1	7
25,10	1	5
25,1	1	7
25,11	1	2
25,12	1	13
25,13	1	7
25,14	1	5
25,15	1	5
25,16	1	10
25,17	1	10
